153_Female_Rep_1	SAMN09738722
153_Female_Rep_2	SAMN09738721
153_Male_Rep_1	SAMN09738720
153_Male_Rep_2	SAMN09738719
158_Female_Rep_1	SAMN09738718
158_Female_Rep_2	SAMN09738717
158_Male_Rep_1	SAMN09738716
158_Male_Rep_2	SAMN09738715
161_Female_Rep_1	SAMN09738714
161_Female_Rep_2	SAMN09738713
161_Male_Rep_1	SAMN09738712
161_Male_Rep_2	SAMN09738711
176_Female_Rep_1	SAMN09738710
176_Female_Rep_2	SAMN09738709
176_Male_Rep_1	SAMN09738708
176_Male_Rep_2	SAMN09738707
177_Female_Rep_1	SAMN09738706
101_Male_Rep_1	SAMN09738705
101_Male_Rep_2	SAMN09738704
105_Female_Rep_1	SAMN09738703
105_Female_Rep_2	SAMN09738702
105_Male_Rep_1	SAMN09738701
105_Male_Rep_2	SAMN09738700
109_Female_Rep_1	SAMN09738699
109_Female_Rep_2	SAMN09738698
109_Male_Rep_1	SAMN09738697
109_Male_Rep_2	SAMN09738696
129_Female_Rep_1	SAMN09738695
129_Female_Rep_2	SAMN09738694
129_Male_Rep_1	SAMN09738693
129_Male_Rep_2	SAMN09738692
136_Female_Rep_1	SAMN09738691
136_Female_Rep_2	SAMN09738690
136_Male_Rep_1	SAMN09738689
136_Male_Rep_2	SAMN09738688
138_Female_Rep_1	SAMN09738687
138_Female_Rep_2	SAMN09738686
138_Male_Rep_1	SAMN09738685
138_Male_Rep_2	SAMN09738684
195_Male_Rep_1	SAMN09738683
195_Male_Rep_2	SAMN09738682
208_Female_Rep_1	SAMN09738681
208_Female_Rep_2	SAMN09738680
208_Male_Rep_1	SAMN09738679
208_Male_Rep_2	SAMN09738678
21_Female_Rep_1	SAMN09738677
21_Female_Rep_2	SAMN09738676
21_Male_Rep_1	SAMN09738675
21_Male_Rep_2	SAMN09738674
217_Female_Rep_1	SAMN09738673
217_Female_Rep_2	SAMN09738672
217_Male_Rep_1	SAMN09738671
217_Male_Rep_2	SAMN09738670
223_Female_Rep_1	SAMN09738669
223_Female_Rep_2	SAMN09738668
223_Male_Rep_1	SAMN09738667
223_Male_Rep_2	SAMN09738666
227_Female_Rep_1	SAMN09738665
227_Female_Rep_2	SAMN09738664
227_Male_Rep_1	SAMN09738663
227_Male_Rep_2	SAMN09738662
228_Female_Rep_1	SAMN09738661
100_Female_Rep_1	SAMN09738660
100_Female_Rep_2	SAMN09738659
100_Male_Rep_1	SAMN09738658
100_Male_Rep_2	SAMN09738657
101_Female_Rep_1	SAMN09738656
101_Female_Rep_2	SAMN09738655
321_Female_Rep_1	SAMN09738654
321_Female_Rep_2	SAMN09738653
321_Male_Rep_1	SAMN09738652
321_Male_Rep_2	SAMN09738651
324_Female_Rep_1	SAMN09738650
324_Female_Rep_2	SAMN09738649
